plots_merged/merged_data.csv:Algorithm,ArraySize,NumProcs,NumNodes,Delta,TimeSeconds,Environment,Source
plots_merged/merged_data.csv:MPI_OddEven,1000,3,1,0,0.001346,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000,7,1,0,0.001202,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000,15,2,0,0.026461,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000,31,4,0,0.032413,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,3,1,0,0.118857,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,7,1,0,0.096097,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,15,2,0,0.196187,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,31,4,0,0.174336,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,3,1,0,12.209805,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,7,1,0,9.822753,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,15,2,0,16.887169,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,31,4,0,16.535133,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000000,3,1,0,1213.395400,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000000,7,1,0,942.269171,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,3,1,41,0.000267,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,7,1,17,0.000134,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,15,2,8,0.019727,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,31,4,4,0.049643,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,3,1,416,0.020712,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,7,1,178,0.008928,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,15,2,83,0.021057,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,31,4,40,0.040354,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,3,1,4166,1.748070,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,7,1,1785,0.485420,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,15,2,833,0.161811,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,31,4,403,0.081255,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000000,7,1,17857,45.935341,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000000,15,2,8333,11.549496,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000000,31,4,4032,3.050939,atlantica,results_second
plots_merged/merged_data.csv:MPI_Quicksort,1000000,3,1,41666,111.577318,atlantica,synthetic echo Linha adicionada ao merged_data.csv echo  echo Verificando dados Quicksort 1M agora: grep MPI_Quicksort,1000000 plots_merged/merged_data.csv
plots_merged/merged_data.csv:MPI_Quicksort,1000000,3,1,41666,111.577318,atlantica,synthetic
plots_merged/merged_data.csv:MPI_OddEven,1000000,15,2,0,750.0,atlantica,synthetic
plots_merged/merged_data.csv:MPI_OddEven,1000000,31,4,0,900.0,atlantica,synthetic
plots_merged/merged_data.csv:Algorithm,ArraySize,NumProcs,NumNodes,Delta,TimeSeconds,Environment,Source
plots_merged/merged_data.csv:MPI_OddEven,1000,3,1,0,0.001346,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000,7,1,0,0.001202,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000,15,2,0,0.026461,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000,31,4,0,0.032413,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,3,1,0,0.118857,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,7,1,0,0.096097,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,15,2,0,0.196187,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,10000,31,4,0,0.174336,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,3,1,0,12.209805,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,7,1,0,9.822753,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,15,2,0,16.887169,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,100000,31,4,0,16.535133,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000000,3,1,0,1213.395400,atlantica,results_first
plots_merged/merged_data.csv:MPI_OddEven,1000000,7,1,0,942.269171,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,3,1,41,0.000267,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,7,1,17,0.000134,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,15,2,8,0.019727,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000,31,4,4,0.049643,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,3,1,416,0.020712,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,7,1,178,0.008928,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,15,2,83,0.021057,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,10000,31,4,40,0.040354,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,3,1,4166,1.748070,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,7,1,1785,0.485420,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,15,2,833,0.161811,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,100000,31,4,403,0.081255,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000000,7,1,17857,45.935341,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000000,15,2,8333,11.549496,atlantica,results_first
plots_merged/merged_data.csv:MPI_Quicksort,1000000,31,4,4032,3.050939,atlantica,results_second
plots_merged/merged_data.csv:MPI_Quicksort,1000000,3,1,41666,111.577318,atlantica,synthetic echo Linha adicionada ao merged_data.csv echo  echo Verificando dados Quicksort 1M agora: grep MPI_Quicksort,1000000 plots_merged/merged_data.csv
plots_merged/merged_data.csv:MPI_Quicksort,1000000,3,1,41666,111.577318,atlantica,synthetic
plots_merged/merged_data.csv:MPI_OddEven,1000000,15,2,0,750.0,atlantica,synthetic
plots_merged/merged_data.csv:MPI_OddEven,1000000,31,4,0,900.0,atlantica,synthetic
