Algorithm,ArraySize,NumProcs,NumNodes,Delta,TimeSeconds,Environment
MPI_Quicksort,1000,15,2,8,0.021213,atlantica
MPI_Quicksort,1000,31,4,4,0.040604,atlantica
MPI_Quicksort,10000,15,2,83,0.023267,atlantica
MPI_Quicksort,10000,31,4,40,0.051074,atlantica
MPI_Quicksort,100000,15,2,833,0.167784,atlantica
MPI_Quicksort,100000,31,4,403,0.093608,atlantica
MPI_Quicksort,1000000,15,2,8333,11.615343,atlantica
MPI_Quicksort,1000000,31,4,4032,3.050939,atlantica
MPI_OddEven,1000,7,1,0,0.001126,atlantica
MPI_OddEven,1000,3,1,0,0.001281,atlantica
MPI_OddEven,1000,15,2,0,0.022251,atlantica
MPI_OddEven,1000,31,4,0,0.036527,atlantica
MPI_OddEven,10000,7,1,0,0.093525,atlantica
MPI_OddEven,10000,3,1,0,0.115006,atlantica
MPI_OddEven,10000,15,2,0,0.613380,atlantica
MPI_OddEven,10000,31,4,0,0.170192,atlantica
MPI_OddEven,100000,7,1,0,9.296152,atlantica
MPI_OddEven,100000,3,1,0,11.515154,atlantica
MPI_OddEven,100000,15,2,0,15.715774,atlantica
MPI_OddEven,100000,31,4,0,15.866382,atlantica
MPI_OddEven,1000000,7,1,0,978.561042,atlantica
MPI_OddEven,1000000,3,1,0,1218.776244,atlantica
