Algorithm,ArraySize,NumProcs,NumNodes,Delta,TimeSeconds,Environment
MPI_Quicksort,1000,7,1,17,0.000134,atlantica
MPI_OddEven,1000,7,1,0,0.001202,atlantica
MPI_Quicksort,1000,3,1,41,0.000267,atlantica
MPI_OddEven,1000,3,1,0,0.001346,atlantica
MPI_Quicksort,1000,15,2,8,0.019727,atlantica
MPI_OddEven,1000,15,2,0,0.026461,atlantica
MPI_Quicksort,1000,31,4,4,0.049643,atlantica
MPI_OddEven,1000,31,4,0,0.032413,atlantica
MPI_Quicksort,10000,7,1,178,0.008928,atlantica
MPI_OddEven,10000,7,1,0,0.096097,atlantica
MPI_Quicksort,10000,3,1,416,0.020712,atlantica
MPI_OddEven,10000,3,1,0,0.118857,atlantica
MPI_Quicksort,10000,15,2,83,0.021057,atlantica
MPI_OddEven,10000,15,2,0,0.196187,atlantica
MPI_Quicksort,10000,31,4,40,0.040354,atlantica
MPI_OddEven,10000,31,4,0,0.174336,atlantica
MPI_Quicksort,100000,7,1,1785,0.485420,atlantica
MPI_OddEven,100000,7,1,0,9.822753,atlantica
MPI_Quicksort,100000,3,1,4166,1.748070,atlantica
MPI_OddEven,100000,3,1,0,12.209805,atlantica
MPI_Quicksort,100000,15,2,833,0.161811,atlantica
MPI_OddEven,100000,15,2,0,16.887169,atlantica
MPI_Quicksort,100000,31,4,403,0.081255,atlantica
MPI_OddEven,100000,31,4,0,16.535133,atlantica
MPI_Quicksort,1000000,7,1,17857,45.935341,atlantica
MPI_OddEven,1000000,7,1,0,942.269171,atlantica
MPI_OddEven,1000000,3,1,0,1213.395400,atlantica
MPI_Quicksort,1000000,15,2,8333,11.549496,atlantica
